Country,Year,Disorder,Sex,AgeGroup,Prevalence_percent,Source
Spain,2020,Trastorno Bipolar,Male,15-24,0.49,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Male,25-64,2.26,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Male,65+,1.37,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Female,0-14,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Female,15-24,0.47,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Female,25-64,2.74,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Trastorno Bipolar,Female,65+,1.58,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Male,0-14,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Male,15-24,0.57,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Male,25-64,0.77,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Male,65+,0.42,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Female,0-14,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Female,15-24,0.54,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Female,25-64,0.66,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2020,Esquizofrenia,Female,65+,0.4,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Male,0-14,1.34,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Male,15-24,0.81,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Male,25-64,0.39,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Male,65+,0.23,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Female,0-14,0.59,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Female,15-24,0.4,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Female,25-64,0.21,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TEA,Female,65+,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Male,0-14,8.58,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Male,15-24,5.16,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Male,25-64,3.02,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Male,65+,0.95,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Female,0-14,4.46,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Female,15-24,3.15,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Female,25-64,2.07,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TDAH,Female,65+,0.36,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Male,0-14,0.69,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Male,15-24,0.89,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Male,25-64,1.28,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Male,65+,1.0,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Female,0-14,0.52,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Female,15-24,0.92,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Female,25-64,1.49,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,TOC,Female,65+,1.07,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Male,0-14,0.15,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Male,15-24,0.5,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Male,25-64,2.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Male,65+,1.61,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Female,0-14,0.15,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Female,15-24,0.61,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Female,25-64,2.7,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Trastorno Bipolar,Female,65+,1.59,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Male,0-14,0.13,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Male,15-24,0.54,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Male,25-64,0.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Male,65+,0.44,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Female,0-14,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Female,15-24,0.47,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Female,25-64,0.72,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2021,Esquizofrenia,Female,65+,0.38,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Male,0-14,1.36,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Male,15-24,0.92,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Male,25-64,0.48,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Male,65+,0.22,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Female,0-14,0.7,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Female,15-24,0.46,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Female,25-64,0.22,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TEA,Female,65+,0.13,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Male,0-14,7.65,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Male,15-24,4.49,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Male,25-64,2.54,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Male,65+,0.8,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Female,0-14,4.97,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Female,15-24,3.0,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Female,25-64,1.68,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TDAH,Female,65+,0.31,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Male,0-14,0.61,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Male,15-24,0.87,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Male,25-64,1.21,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Male,65+,0.89,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Female,0-14,0.67,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Female,15-24,0.77,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Female,25-64,1.36,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,TOC,Female,65+,1.18,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Male,0-14,0.19,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Male,15-24,0.6,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Male,25-64,2.83,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Male,65+,1.73,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Female,0-14,0.22,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Female,15-24,0.65,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Female,25-64,2.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Trastorno Bipolar,Female,65+,1.69,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Male,0-14,0.08,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Male,15-24,0.52,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Male,25-64,0.84,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Male,65+,0.39,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Female,0-14,0.07,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Female,15-24,0.42,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Female,25-64,0.78,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2022,Esquizofrenia,Female,65+,0.45,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Male,0-14,1.25,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Male,15-24,0.82,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Male,25-64,0.42,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Male,65+,0.25,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Female,0-14,0.68,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Female,15-24,0.5,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Female,25-64,0.28,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TEA,Female,65+,0.17,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Male,0-14,8.44,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Male,15-24,4.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Male,25-64,2.93,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Male,65+,0.76,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Female,0-14,5.14,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Female,15-24,2.96,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Female,25-64,1.56,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TDAH,Female,65+,0.19,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Male,0-14,0.63,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Male,15-24,0.94,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Male,25-64,1.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Male,65+,0.94,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Female,0-14,0.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Female,15-24,0.93,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Female,25-64,1.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,TOC,Female,65+,0.97,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Male,0-14,0.27,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Male,15-24,0.65,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Male,25-64,2.63,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Male,65+,1.63,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Female,0-14,0.25,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Female,15-24,0.65,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Female,25-64,2.58,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Trastorno Bipolar,Female,65+,1.87,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Male,0-14,0.07,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Male,15-24,0.57,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Male,25-64,0.77,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Male,65+,0.39,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Female,0-14,0.14,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Female,15-24,0.6,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Female,25-64,0.75,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2023,Esquizofrenia,Female,65+,0.37,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Male,0-14,1.32,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Male,15-24,0.92,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Male,25-64,0.53,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Male,65+,0.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Female,0-14,0.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Female,15-24,0.49,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Female,25-64,0.25,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TEA,Female,65+,0.16,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Male,0-14,7.58,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Male,15-24,4.8,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Male,25-64,2.67,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Male,65+,0.65,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Female,0-14,4.43,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Female,15-24,2.59,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Female,25-64,1.54,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TDAH,Female,65+,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Male,0-14,0.56,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Male,15-24,0.9,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Male,25-64,1.16,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Male,65+,0.93,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Female,0-14,0.63,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Female,15-24,0.77,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Female,25-64,1.32,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,TOC,Female,65+,1.07,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Male,0-14,0.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Male,15-24,0.65,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Male,25-64,2.72,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Male,65+,1.79,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Female,0-14,0.32,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Female,15-24,0.74,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Female,25-64,2.74,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Trastorno Bipolar,Female,65+,1.85,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Male,0-14,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Male,15-24,0.53,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Male,25-64,0.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Male,65+,0.44,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Female,0-14,0.07,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Female,15-24,0.54,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Female,25-64,0.62,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2024,Esquizofrenia,Female,65+,0.37,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Male,0-14,1.18,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Male,15-24,0.89,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Male,25-64,0.53,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Male,65+,0.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Female,0-14,0.73,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Female,15-24,0.49,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Female,25-64,0.29,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TEA,Female,65+,0.22,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Male,0-14,7.96,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Male,15-24,4.85,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Male,25-64,2.71,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Male,65+,0.55,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Female,0-14,4.69,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Female,15-24,2.34,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Female,25-64,1.48,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TDAH,Female,65+,0.0,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Male,0-14,0.68,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Male,15-24,0.68,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Male,25-64,1.33,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Male,65+,1.01,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Female,0-14,0.64,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Female,15-24,0.91,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Female,25-64,1.36,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,TOC,Female,65+,1.18,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Male,0-14,0.34,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Male,15-24,0.78,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Male,25-64,2.84,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Male,65+,1.77,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Female,0-14,0.35,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Female,15-24,0.74,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Female,25-64,2.72,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Trastorno Bipolar,Female,65+,1.78,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Male,0-14,0.12,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Male,15-24,0.51,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Male,25-64,0.75,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Male,65+,0.44,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Female,0-14,0.08,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Female,15-24,0.42,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Female,25-64,0.64,Simulated educational dataset based on WHO/IHME global patterns (imputed)
Spain,2025,Esquizofrenia,Female,65+,0.42,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Male,0-14,1.24,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Male,15-24,0.84,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Male,25-64,0.44,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Male,65+,0.21,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Female,0-14,0.55,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Female,15-24,0.38,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Female,25-64,0.2,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TEA,Female,65+,0.11,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Male,0-14,7.53,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Male,15-24,5.49,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Male,25-64,2.94,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Male,65+,1.06,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Female,0-14,5.15,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Female,15-24,3.14,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Female,25-64,2.02,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TDAH,Female,65+,0.52,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Male,0-14,0.48,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Male,15-24,0.88,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Male,25-64,1.12,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Male,65+,0.98,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Female,0-14,0.73,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Female,15-24,0.86,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Female,25-64,1.24,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,TOC,Female,65+,0.98,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,Trastorno Bipolar,Male,0-14,0.1,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,Trastorno Bipolar,Male,15-24,0.45,Simulated educational dataset based on WHO/IHME global patterns (imputed)
France,2020,Trastorno Bipolar,Male,25-64,2.69,Simulated educational dataset based on WHO/IHME global patterns (imputed)
